RMSprop using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.02
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000
updates=2, Epoch=0, minibatch=1, loss=0.13150, Wa=0.2980, Wb=1.6002
updates=3, Epoch=0, minibatch=2, loss=0.11373, Wa=0.4979, Wb=1.5765
updates=4, Epoch=0, minibatch=3, loss=0.11682, Wa=0.5851, Wb=1.5467
updates=5, Epoch=0, minibatch=4, loss=0.09163, Wa=0.6696, Wb=1.5188
updates=6, Epoch=0, minibatch=5, loss=0.08690, Wa=0.7401, Wb=1.4857
updates=7, Epoch=0, minibatch=6, loss=0.07548, Wa=0.7991, Wb=1.4683
updates=8, Epoch=0, minibatch=7, loss=0.04544, Wa=0.8435, Wb=1.4396
updates=9, Epoch=1, minibatch=0, loss=0.03165, Wa=0.8625, Wb=1.4108
updates=10, Epoch=1, minibatch=1, loss=0.05611, Wa=0.8639, Wb=1.4090
updates=11, Epoch=1, minibatch=2, loss=0.06680, Wa=0.8677, Wb=1.4088
updates=12, Epoch=1, minibatch=3, loss=0.04030, Wa=0.8724, Wb=1.4091
updates=13, Epoch=1, minibatch=4, loss=0.04848, Wa=0.8744, Wb=1.4077
updates=14, Epoch=1, minibatch=5, loss=0.04706, Wa=0.8778, Wb=1.4049
updates=15, Epoch=1, minibatch=6, loss=0.04347, Wa=0.8826, Wb=1.4031
updates=16, Epoch=1, minibatch=7, loss=0.04956, Wa=0.8849, Wb=1.4023
updates=17, Epoch=2, minibatch=0, loss=0.06576, Wa=0.8872, Wb=1.3997
updates=18, Epoch=2, minibatch=1, loss=0.04874, Wa=0.8912, Wb=1.3989
updates=19, Epoch=2, minibatch=2, loss=0.04565, Wa=0.8943, Wb=1.3970
updates=20, Epoch=2, minibatch=3, loss=0.03522, Wa=0.8976, Wb=1.3949
updates=21, Epoch=2, minibatch=4, loss=0.04493, Wa=0.8993, Wb=1.3931
updates=22, Epoch=2, minibatch=5, loss=0.05291, Wa=0.9016, Wb=1.3925
updates=23, Epoch=2, minibatch=6, loss=0.01731, Wa=0.9092, Wb=1.3923
updates=24, Epoch=2, minibatch=7, loss=0.03876, Wa=0.9096, Wb=1.3903
updates=25, Epoch=3, minibatch=0, loss=0.04648, Wa=0.9114, Wb=1.3897
updates=26, Epoch=3, minibatch=1, loss=0.03960, Wa=0.9144, Wb=1.3880
updates=27, Epoch=3, minibatch=2, loss=0.04694, Wa=0.9162, Wb=1.3874
updates=28, Epoch=3, minibatch=3, loss=0.04954, Wa=0.9189, Wb=1.3871
updates=29, Epoch=3, minibatch=4, loss=0.02560, Wa=0.9216, Wb=1.3858
updates=30, Epoch=3, minibatch=5, loss=0.05404, Wa=0.9223, Wb=1.3833
updates=31, Epoch=3, minibatch=6, loss=0.02497, Wa=0.9272, Wb=1.3817
updates=32, Epoch=3, minibatch=7, loss=0.02815, Wa=0.9281, Wb=1.3811
updates=33, Epoch=4, minibatch=0, loss=0.04024, Wa=0.9292, Wb=1.3802
updates=34, Epoch=4, minibatch=1, loss=0.04138, Wa=0.9314, Wb=1.3797
updates=35, Epoch=4, minibatch=2, loss=0.05324, Wa=0.9370, Wb=1.3779
updates=36, Epoch=4, minibatch=3, loss=0.02548, Wa=0.9396, Wb=1.3773
updates=37, Epoch=4, minibatch=4, loss=0.04001, Wa=0.9406, Wb=1.3762
updates=38, Epoch=4, minibatch=5, loss=0.04173, Wa=0.9428, Wb=1.3747
updates=39, Epoch=4, minibatch=6, loss=0.03087, Wa=0.9449, Wb=1.3740
updates=40, Epoch=4, minibatch=7, loss=0.01988, Wa=0.9463, Wb=1.3736
updates=41, Epoch=5, minibatch=0, loss=0.03744, Wa=0.9470, Wb=1.3717
updates=42, Epoch=5, minibatch=1, loss=0.03127, Wa=0.9506, Wb=1.3711
updates=43, Epoch=5, minibatch=2, loss=0.02174, Wa=0.9520, Wb=1.3706
updates=44, Epoch=5, minibatch=3, loss=0.02457, Wa=0.9528, Wb=1.3688
updates=45, Epoch=5, minibatch=4, loss=0.05071, Wa=0.9538, Wb=1.3672
updates=46, Epoch=5, minibatch=5, loss=0.03910, Wa=0.9567, Wb=1.3677
updates=47, Epoch=5, minibatch=6, loss=0.03555, Wa=0.9590, Wb=1.3673
updates=48, Epoch=5, minibatch=7, loss=0.05105, Wa=0.9607, Wb=1.3655
